Loaded problem from /home/jordan/antoine/cuADMM/examples/pendulum/TXT/N=80_licols/
              vector length: 131945
      number of constraints: 112028
           number of blocks: 239
  number of non-zeros in At: 278569
   number of non-zeros in b: 1
   number of non-zeros in C: 646

Analysis of the blk vector:
      159 matrices of size  10 (small)
       80 matrices of size  55 (large)

Analysis of the large matrices sizes:
    size of large matrices:  55 
  number of large matrices:  80 
    total size of large matrices: 242000
  sum of sizes of large matrices: 4400
    nb large (with multiplicity): 80
  large matrices start indices: 0 242000 

Analysis of the small matrices sizes:
    size of small matrices:  10 
  number of small matrices: 159 
    total size of small matrices: 15900
  sum of sizes of small matrices: 1590
    nb small (with multiplicity): 159
  small matrices start indices: 0 15900 

 -------------------------------------------------------------------------------
                                    cuADMM
 -------------------------------------------------------------------------------
 norm of C = 1.2e+00, norm of b = 2.0e+00

  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma | 
 13800 | 4.83e-04 3.49e-04 |  2.3182e+00  2.3171e+00 2.05e-04 | 346.2 | 1.3e+00 |
 13900 | 4.21e-04 3.44e-04 |  2.3184e+00  2.3212e+00 4.94e-04 | 348.5 | 7.7e-01 |
 14000 | 3.65e-04 3.84e-04 |  2.3187e+00  2.3270e+00 1.48e-03 | 350.8 | 4.6e-01 |
 14100 | 3.22e-04 4.35e-04 |  2.3191e+00  2.3298e+00 1.89e-03 | 353.2 | 4.6e-01 |
 14200 | 3.05e-04 3.67e-04 |  2.3197e+00  2.3272e+00 1.33e-03 | 355.5 | 7.7e-01 |
 14300 | 3.11e-04 3.06e-04 |  2.3201e+00  2.3257e+00 1.00e-03 | 357.8 | 1.3e+00 |
 14400 | 3.22e-04 2.60e-04 |  2.3202e+00  2.3259e+00 1.01e-03 | 360.1 | 1.3e+00 |
 14500 | 3.00e-04 2.30e-04 |  2.3202e+00  2.3265e+00 1.12e-03 | 362.4 | 7.7e-01 |
 14600 | 2.72e-04 2.32e-04 |  2.3202e+00  2.3279e+00 1.37e-03 | 364.7 | 4.6e-01 |
 14700 | 2.46e-04 2.75e-04 |  2.3202e+00  2.3305e+00 1.82e-03 | 367.0 | 2.8e-01 |
 14800 | 2.33e-04 2.83e-04 |  2.3203e+00  2.3303e+00 1.76e-03 | 369.3 | 4.6e-01 |
 14900 | 2.29e-04 2.55e-04 |  2.3205e+00  2.3295e+00 1.60e-03 | 371.6 | 7.7e-01 |
 15000 | 2.37e-04 2.20e-04 |  2.3205e+00  2.3291e+00 1.51e-03 | 373.9 | 1.3e+00 |
 15100 | 2.36e-04 1.89e-04 |  2.3205e+00  2.3295e+00 1.58e-03 | 376.2 | 7.7e-01 |
 15200 | 2.23e-04 1.84e-04 |  2.3206e+00  2.3303e+00 1.71e-03 | 378.5 | 4.6e-01 |
 15300 | 2.07e-04 2.32e-04 |  2.3207e+00  2.3318e+00 1.96e-03 | 380.8 | 2.8e-01 |
 15400 | 1.95e-04 2.58e-04 |  2.3209e+00  2.3310e+00 1.79e-03 | 383.1 | 4.6e-01 |
 15500 | 1.89e-04 2.49e-04 |  2.3211e+00  2.3302e+00 1.60e-03 | 385.4 | 7.7e-01 |
 15600 | 1.95e-04 2.23e-04 |  2.3214e+00  2.3298e+00 1.50e-03 | 387.8 | 1.3e+00 |
 15700 | 2.17e-04 1.90e-04 |  2.3216e+00  2.3298e+00 1.44e-03 | 390.1 | 2.1e+00 |
 15800 | 2.19e-04 1.65e-04 |  2.3218e+00  2.3299e+00 1.44e-03 | 392.4 | 1.3e+00 |
 15900 | 2.03e-04 1.64e-04 |  2.3218e+00  2.3301e+00 1.47e-03 | 394.7 | 7.7e-01 |
 16000 | 1.83e-04 1.94e-04 |  2.3218e+00  2.3304e+00 1.51e-03 | 397.0 | 4.6e-01 |
 16100 | 1.65e-04 2.37e-04 |  2.3218e+00  2.3306e+00 1.55e-03 | 399.3 | 4.6e-01 |
 16200 | 1.54e-04 2.38e-04 |  2.3219e+00  2.3306e+00 1.54e-03 | 401.6 | 7.7e-01 |
 16300 | 1.62e-04 2.12e-04 |  2.3219e+00  2.3305e+00 1.52e-03 | 403.9 | 1.3e+00 |
 16400 | 2.05e-04 1.72e-04 |  2.3220e+00  2.3305e+00 1.50e-03 | 406.2 | 2.1e+00 |
 16500 | 2.23e-04 1.35e-04 |  2.3221e+00  2.3305e+00 1.49e-03 | 408.5 | 1.3e+00 |
 16600 | 2.10e-04 1.35e-04 |  2.3222e+00  2.3304e+00 1.46e-03 | 410.8 | 7.7e-01 |
 16700 | 1.84e-04 2.01e-04 |  2.3222e+00  2.3303e+00 1.42e-03 | 413.1 | 4.6e-01 |
 16800 | 1.57e-04 2.49e-04 |  2.3224e+00  2.3299e+00 1.33e-03 | 415.4 | 6.0e-01 |
 16900 | 1.49e-04 2.31e-04 |  2.3225e+00  2.3296e+00 1.25e-03 | 417.8 | 1.0e+00 |
 17000 | 1.85e-04 1.81e-04 |  2.3227e+00  2.3294e+00 1.19e-03 | 420.1 | 1.7e+00 |
 17100 | 2.31e-04 1.26e-04 |  2.3229e+00  2.3294e+00 1.15e-03 | 422.4 | 1.7e+00 |
 17200 | 2.24e-04 9.30e-05 |  2.3230e+00  2.3294e+00 1.13e-03 | 424.7 | 1.0e+00 |
 17300 | 1.98e-04 1.26e-04 |  2.3230e+00  2.3294e+00 1.12e-03 | 427.0 | 6.0e-01 |
 17400 | 1.69e-04 2.12e-04 |  2.3230e+00  2.3292e+00 1.10e-03 | 429.3 | 3.6e-01 |
 17500 | 1.45e-04 2.50e-04 |  2.3230e+00  2.3294e+00 1.13e-03 | 431.6 | 6.0e-01 |
